date,current_capital,unclaimed_fees,projected_fees,reinvest_cost,p_value,day_projection
2022-10-18,1000000.0,28712.9621232899,2.0890385778174285,26.80669158955825,0.02,7
2022-10-19,1000000.0,28775.036465095116,2.0977657794355724,29.80276754850694,0.02,7
2022-10-20,1000000.0,28842.3451179051,2.1060124115754038,31.75335389448866,0.02,7
2022-10-21,1000000.0,28888.946254145925,2.112891424922115,31.2451789502811,0.02,7
2022-10-22,1000000.0,28905.50964324621,2.117115590300884,20.14394440011744,0.02,7
2022-10-23,1000000.0,28938.368290403767,2.115087219333911,16.752985210793998,0.02,7
2022-03-08,1000000.0,45.67185007400959,0.010885219168313112,88.95339060805205,0.02,14
2022-03-09,1000000.0,72.79457700201442,0.017418550935169887,77.91346922557867,0.02,14
2022-03-10,1000000.0,121.07003821851082,0.028683336717161965,66.57365729420846,0.02,14
2022-03-11,1000000.0,146.4965667078069,0.03484052159064063,63.226785958433545,0.02,14
2022-03-12,1000000.0,217.09614088318943,0.05094967120962991,47.28066702894808,0.02,14
2022-03-13,1000000.0,237.72923042024001,0.05603684906301539,73.2942654471239,0.02,14
2022-03-14,1000000.0,300.8543169969412,0.06876640295325716,63.7506927865667,0.02,14
2022-03-15,1000000.0,363.98207271920023,0.08353149906217361,74.17783490604171,0.02,14
2022-03-16,1000000.0,420.44865885345683,0.09687649449766317,84.99535147444914,0.02,14
2022-03-17,1000000.0,491.2300940331394,0.11360838759658362,151.77635158913466,0.02,14
2022-03-18,1000000.0,629.2775730832853,0.14613683867452343,149.34423430049952,0.02,14
2022-03-19,1000000.0,707.5833162621992,0.16507728496673224,69.56936320686907,0.02,14
2022-03-20,1000000.0,755.166391204841,0.17692261604934081,58.63858474495157,0.02,14
2022-03-21,1000000.0,778.1060140730635,0.18290420366322455,75.57186256526907,0.02,14
2022-03-22,1000000.0,865.9294082830689,0.19997694244814984,97.66725878556436,0.02,14
2022-03-23,1000000.0,914.4234423594713,0.21205787167926038,86.2891938216,0.02,14
2022-03-24,1000000.0,1044.3741145229492,0.24295903392622414,116.1836065123776,0.02,14
2022-03-25,1000000.0,1138.8523515879983,0.26607719660022777,106.33920103623858,0.02,14
2022-03-26,1000000.0,1191.803424968979,0.2796033957344624,76.3698707350775,0.02,14
2022-03-27,1000000.0,1259.1257720435415,0.29633898107129836,127.84923916764794,0.02,14
2022-03-28,1000000.0,1305.5912032065962,0.3083680400793759,192.36579372339506,0.02,14
2022-03-29,1000000.0,1371.5357548284621,0.3249200239672925,120.06075977570441,0.02,14
2022-03-30,1000000.0,1409.0391697065431,0.334963674471885,133.46692152670335,0.02,14
2022-03-31,1000000.0,1512.251106056916,0.3605140649766276,126.98980501278051,0.02,14
2022-04-01,1000000.0,1583.5484505532015,0.3790298278204163,165.86500548653098,0.02,14
2022-04-02,1000000.0,1596.5395626239997,0.3834843944360434,150.44235196996289,0.02,14
2022-04-03,1000000.0,1644.7831563293457,0.3666607351756858,135.75461174236486,0.02,14
2022-04-04,1000000.0,1671.0817554136972,0.3737009590066337,169.2966666245792,0.02,14
2022-04-05,1000000.0,1687.0001548985915,0.37522757882020075,230.89697885853047,0.02,14
2022-04-06,1000000.0,1716.1101924850984,0.36462995079737276,139.26283042666194,0.02,14
2022-04-07,1000000.0,1725.191910225637,0.3668462093598506,170.22094312290048,0.02,14
2022-04-08,1000000.0,1755.1139981602337,0.33785231292805246,133.1326977221699,0.02,14
2022-04-09,1000000.0,1766.4627717145036,0.3408149664550246,87.38087117787852,0.02,14
2022-04-10,1000000.0,1799.9005360026108,0.32354305415611606,107.1976539168397,0.02,14
2022-04-11,1000000.0,1887.5960597301514,0.34049604652735843,103.56549617245726,0.02,14
2022-04-12,1000000.0,2147.1257693786583,0.38901554000888683,106.8694436154547,0.02,14
2022-04-13,1000000.0,2225.6324569008048,0.4029004961178939,111.16159533755646,0.02,14
2022-04-14,1000000.0,2268.387222573157,0.41235319412164173,112.89454162244532,0.02,14
2022-04-15,1000000.0,2295.1278933213184,0.41854872969764745,91.82816746313212,0.02,14
2022-04-16,1000000.0,2304.1487008750155,0.42043276412509883,82.65283346480342,0.02,14
2022-04-17,1000000.0,2319.917915369334,0.38819725238669855,68.8675971836302,0.02,14
2022-04-18,1000000.0,2486.8095707457783,0.40513693613962826,86.15579643167314,0.02,14
2022-04-19,1000000.0,2586.831355303953,0.4230973134335237,96.45630282221558,0.02,14
2022-04-20,1000000.0,2652.659508784246,0.43575514799546855,154.82959240000744,0.02,14
2022-04-21,1000000.0,2674.188502192341,0.4409277409068721,135.9272153987117,0.02,14
2022-04-22,1000000.0,2720.846508424279,0.4471406671638764,126.76999967708319,0.02,14
2022-04-23,1000000.0,2736.0178960960825,0.45100118361039904,73.76811142800936,0.02,14
2022-04-24,1000000.0,2760.8883837294607,0.4442935407427694,73.5164147814306,0.02,14
2022-04-25,1000000.0,2992.940082169046,0.48226193665739703,121.64743410815467,0.02,14
2022-04-26,1000000.0,3070.986569675339,0.4951594593313654,99.69006744203185,0.02,14
2022-04-27,1000000.0,3162.416231633219,0.5118489534248583,116.60938478713575,0.02,14
2022-04-28,1000000.0,3190.7377579659637,0.5184610491794451,117.47082682313251,0.02,14
2022-04-29,1000000.0,3239.975992265776,0.5276148429226257,107.84909428468285,0.02,14
2022-04-30,1000000.0,3263.183522808329,0.5330110582088644,100.29155136055077,0.02,14
2022-05-01,1000000.0,3368.4594961522243,0.5500862542142014,938.4017014062244,0.02,14
2022-05-02,1000000.0,3430.333863060974,0.5623577049742478,144.0569939233672,0.02,14
2022-05-03,1000000.0,3497.3905918563833,0.5752315005316565,124.8253250317773,0.02,14
2022-05-04,1000000.0,3577.9891294051076,0.5904615114790454,109.27035617597174,0.02,14
2022-05-05,1000000.0,3630.1871549075563,0.6011977686118632,132.1351418692625,0.02,14
2022-05-06,1000000.0,3727.1433953262667,0.6190690622978922,104.00224593871188,0.02,14
2022-05-07,1000000.0,3752.285886912277,0.6255206398191367,64.92416876818058,0.02,14
2022-05-08,1000000.0,3790.730273924024,0.6326015558014866,51.99353618040095,0.02,14
2022-05-09,1000000.0,4140.395149479015,0.69266655220096,103.97458898552354,0.02,14
2022-05-10,1000000.0,4347.014321354057,0.723124712826899,100.89489280027894,0.02,14
2022-05-11,1000000.0,6099.73582988954,1.0166898696570954,215.01576326008876,0.02,14
2022-05-12,1000000.0,10420.818000001502,1.7244775051912355,293.2341676820873,0.02,14
2022-05-13,1000000.0,12538.956338139444,1.771421682788462,113.68175633713697,0.02,14
2022-05-14,1000000.0,12617.592870573673,1.8491370487182923,58.835798850945096,0.02,14
2022-05-15,1000000.0,12678.025141391594,1.856209099462392,41.97431637925686,0.02,14
2022-05-16,1000000.0,12698.435271593584,1.857132881173341,40.80355425607304,0.02,14
2022-05-17,1000000.0,12719.488369534796,1.8580361105783465,55.364809192531766,0.02,14
2022-05-18,1000000.0,12916.440954709951,1.884644828061596,41.221302519868125,0.02,14
2022-05-19,1000000.0,13236.375667975477,1.9316840211394442,43.06193004810378,0.02,14
2022-05-20,1000000.0,13311.977429756227,1.9474505203430106,44.95603092429128,0.02,14
2022-05-21,1000000.0,13330.983798522471,1.9483652648369745,36.27405698318047,0.02,14
2022-05-22,1000000.0,13351.52580331304,1.9491676155077684,36.69958342018383,0.02,14
2022-05-23,1000000.0,13499.380096140914,1.968478372404288,40.8063294887612,0.02,14
2022-05-24,1000000.0,13532.314006953695,1.9725288497313143,45.663684322056135,0.02,14
2022-05-25,1000000.0,13541.738899534632,1.9717196274244635,52.367422967827224,0.02,14
2022-05-26,1000000.0,13782.548484984769,2.0046131015796766,64.45524394219333,0.02,14
2022-05-27,1000000.0,13854.260647012192,2.016782152644901,55.07193208048047,0.02,14
2022-05-28,1000000.0,13890.793206703655,2.0202272609718257,29.61326697063819,0.02,14
2022-05-29,1000000.0,13916.78778743019,2.021780925351714,30.673658951224997,0.02,14
